Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
54,Junior Burrough,PF,23,BOS,61,495,9,0.448,0,0.547,9.9,14.8,12.3,4.6,1.5,1.4,15.9,21.8,,-0.6,0.4,-0.2,-0.018,,-5.5,-2,-7.5,-0.7
55,Mitchell Butler,SG,25,WSB,61,858,7.4,0.446,0.262,0.362,4.1,12,8.1,11.1,2.4,1,20.1,17.3,,-1.2,1,-0.2,-0.01,,-4.7,0.6,-4.1,-0.5
56,Jason Caffey,PF,22,CHI,57,545,7.9,0.474,0.006,0.42,10.9,12.8,11.9,6.3,1.2,1,20,19.4,,-0.4,0.8,0.4,0.038,,-6.1,-1.1,-7.1,-0.7
57,Michael Cage,C,34,CLE,82,2631,14.1,0.561,0.003,0.232,14.3,22.7,18.4,3.3,1.9,2.7,11,9.4,,4.1,4,8.1,0.148,,-0.4,0.2,-0.2,1.2
58,Adrian Caldwell,PF,29,IND,51,327,10.4,0.556,0,0.434,16.6,25.2,21,3,1.5,1.2,26.2,18.8,,-0.2,0.5,0.3,0.044,,-5.1,-0.7,-5.8,-0.3
59,Elden Campbell,PF,27,LAL,82,2699,18,0.549,0.006,0.393,7.1,19.5,13.4,10.3,1.7,5.5,11.6,19.6,,3.8,4.4,8.2,0.147,,-0.2,1.9,1.7,2.6
60,Antoine Carr,SF,34,UTA,80,1532,10.6,0.506,0.006,0.282,5.8,10.1,8,7.6,1,3.5,12,19.5,,0.6,1.5,2.1,0.065,,-3.5,0,-3.5,-0.6
61,Chris Carr,SG,21,PHO,60,590,10.5,0.493,0.194,0.276,5.4,14.5,10,11.4,0.9,0.6,14.1,21.4,,-0.1,0.3,0.3,0.021,,-3.4,-1.8,-5.2,-0.5
62,Sam Cassell,PG,26,HOU,61,1682,16.8,0.565,0.319,0.433,3.5,9,6.3,27.3,1.6,0.2,16.7,25.1,,2.6,1.2,3.9,0.11,,1.2,-0.9,0.3,1
63,Duane Causwell,C,27,SAC,73,1044,9.9,0.484,0.005,0.444,9.5,18,13.7,2.9,1.3,5.6,17,13.1,,0,1.3,1.3,0.059,,-4.4,1.2,-3.2,-0.3
64,Cedric Ceballos,SF,26,LAL,78,2628,22.1,0.599,0.153,0.34,9.7,13.9,11.9,7.9,1.9,0.6,10.8,26.5,,7.1,2.8,9.8,0.18,,3.9,-1.3,2.6,3.1
65,Rex Chapman,SG,28,MIA,56,1865,13,0.539,0.496,0.166,1.4,7.5,4.5,15.4,1.3,0.4,9.8,19.7,,2.3,1.9,4.2,0.108,,0.7,0.1,0.8,1.3
66,Calbert Cheaney,SF,24,WSB,70,2324,13,0.528,0.17,0.236,3.5,8.5,6.1,10.6,1.5,0.6,11.4,21.7,,1.5,1.7,3.2,0.065,,-1,-0.9,-1.9,0.1
67,Pete Chilcutt,PF,27,HOU,74,651,12.5,0.525,0.547,0.145,9.1,17.8,13.6,6,1.5,1.5,10.4,14.7,,0.6,0.8,1.4,0.101,,-0.4,-0.7,-1.1,0.1
68,Randolph Childress,PG,23,POR,28,250,6.7,0.468,0.595,0.342,0.5,8.2,4.3,19.1,1.7,0.3,23.6,20.8,,-0.3,0.3,0,-0.009,,-4.9,-0.5,-5.4,-0.2
69,Chris Childs,PG,28,NJN,78,2408,16.4,0.549,0.333,0.391,2.3,9.1,5.6,38.6,2.4,0.3,20.1,20.7,,3.3,2.5,5.8,0.115,,1.3,0.4,1.7,2.2
70,Doug Christie,SF,25,TOT,55,1036,14,0.549,0.315,0.276,3.9,13.8,8.8,18,3.5,1.4,20.1,20.4,,0.2,1.2,1.4,0.065,,-1.7,0.8,-0.8,0.3
70,Doug Christie,SF,25,NYK,23,218,14.1,0.562,0.26,0.301,4.5,13.7,9.2,19.2,2.9,1.1,18.7,21.7,,0.1,0.4,0.5,0.108,,-1.5,2.2,0.7,0.1
70,Doug Christie,SF,25,TOR,32,818,13.9,0.545,0.33,0.269,3.8,13.8,8.7,17.7,3.7,1.5,20.5,20,,0.1,0.8,0.9,0.054,,-1.7,0.5,-1.2,0.2
71,Robert Churchwell,SG,23,GSW,4,20,1.2,0.375,0,0,0,17.4,8.6,8,0,0,20,21.8,,-0.1,0,-0.1,-0.166,,-7.8,-2.9,-10.6,0
72,Charles Claxton,C,25,BOS,3,7,0.2,0.347,0,1,31.2,0,16,0,0,10,25.8,23.9,,0,0,0,-0.179,,-16.3,-2.6,-18.9,0
73,John Coker,C,24,PHO,5,11,37.3,0.8,0,0,21.4,0,10.5,21.2,0,6.8,0,20.2,,0.1,0,0.1,0.36,,11.6,1.9,13.5,0
74,Derrick Coleman,PF,28,PHI,11,294,12,0.466,0.178,0.271,5,23.8,14.1,19.3,0.7,2.5,17.5,24.3,,-0.4,0.2,-0.2,-0.029,,-2.8,-0.7,-3.5,-0.1
75,Bimbo Coles,PG,27,TOT,81,2615,12.4,0.513,0.327,0.272,2.2,9.2,5.8,25.9,1.9,0.5,16.4,17.9,,2.2,2.8,5,0.091,,-0.8,0.6,-0.2,1.2
75,Bimbo Coles,PG,27,MIA,52,1882,13,0.523,0.308,0.309,2.4,9.9,6.2,25.7,1.8,0.5,16.2,18.3,,1.9,2.4,4.3,0.109,,-0.3,0.9,0.6,1.2
75,Bimbo Coles,PG,27,GSW,29,733,10.9,0.486,0.376,0.174,1.7,7.6,4.6,26.3,2.2,0.5,17,16.8,,0.3,0.4,0.7,0.047,,-2.1,-0.2,-2.3,-0.1
76,Marty Conlon,C,28,MIL,74,958,12.2,0.526,0.092,0.336,7.3,15.5,11.3,11.7,1.1,0.9,17.4,21.7,,0.1,0.5,0.6,0.028,,-2.3,-1.2,-3.5,-0.4
77,Anthony Cook,PF,28,POR,11,60,7.6,0.422,0.125,0.25,9.5,13.2,11.4,5.1,0,1.2,5.3,13.7,,0,0.1,0.1,0.057,,-4.5,-1.4,-5.9,-0.1
78,Tyrone Corbin,SF,33,TOT,71,1284,12.6,0.511,0.051,0.342,7.4,14.7,11,10.4,2.5,1.2,14.2,16.2,,0.9,1.6,2.5,0.093,,-1.7,1,-0.7,0.4
78,Tyrone Corbin,SF,33,SAC,49,930,13.3,0.521,0.046,0.355,6.8,15.5,11.1,10.5,2.6,1.4,14.3,16.5,,0.7,1.1,1.8,0.092,,-1.3,0.9,-0.4,0.4
78,Tyrone Corbin,SF,33,MIA,22,354,10.8,0.484,0.065,0.304,8.8,12.5,10.7,10.4,2.4,0.7,14,15.6,,0.2,0.6,0.7,0.097,,-3,1.2,-1.7,0
79,Joe Courtney,PF,26,CLE,23,200,7,0.443,0,0.514,15.7,16.9,16.3,7.2,1.5,2.7,28.4,15.1,,-0.2,0.2,0,0,,-7.1,-0.9,-8,-0.3
80,John Crotty,PG,26,CLE,58,617,13,0.59,0.237,0.632,4.2,7.5,5.8,26.9,2.1,0.9,25.9,16.1,,0.8,0.5,1.3,0.101,,-1.5,0.2,-1.3,0.1
81,Terry Cummings,PF,34,MIL,81,1777,13.9,0.493,0.012,0.274,11,19.9,15.3,8.1,1.7,1.3,9.5,18.6,,1.5,1.5,3,0.08,,-1.6,-0.6,-2.3,-0.1
82,Dell Curry,SG,31,CHH,82,2371,16.8,0.568,0.417,0.176,3.4,10.2,6.8,12.5,2.4,0.8,11,22.5,,3.8,1.4,5.1,0.104,,2.1,-0.3,1.8,2.3
83,Michael Curry,SG-SF,27,TOT,46,783,9.4,0.56,0.329,0.385,4.3,8.6,6.6,5.6,1.7,0.2,11.3,12.9,,0.8,0.8,1.6,0.1,,-2.4,0.9,-1.5,0.1
83,Michael Curry,SF,27,WSB,5,34,8.2,0.425,0.3,0.4,7.1,10.2,8.7,4.1,1.5,0,7.8,16.8,,0,0,0,0.033,,-2.8,-0.7,-3.5,0
83,Michael Curry,SG,27,DET,41,749,9.4,0.569,0.331,0.384,4.2,8.6,6.5,5.6,1.7,0.2,11.5,12.7,,0.8,0.8,1.6,0.103,,-2.4,1,-1.5,0.1
84,Rastko Cvetkovi?,C,25,DEN,14,48,2.1,0.282,0.063,0.25,9.6,16.9,13.2,9.6,2.2,1.5,14.5,19.3,,-0.2,0.1,-0.1,-0.118,,-9.8,-1.3,-11,-0.1
85,Sasha Danilovi?,SG,25,MIA,19,542,14.4,0.591,0.424,0.391,2.6,7.1,4.9,14.9,1.5,0.4,14.6,21.2,,0.9,0.6,1.5,0.129,,1,-0.6,0.4,0.3
86,Yinka Dare,C,23,NJN,58,626,6.1,0.479,0,0.431,9.6,22.5,15.9,0,0.7,4.9,29.6,17,,-1.4,1,-0.5,-0.037,,-9,0.3,-8.7,-1
87,Antonio Davis,PF,27,IND,82,2092,13.9,0.567,0.004,0.716,11.6,18.1,15,3.2,0.8,2.5,12.1,15.8,,3.6,2.4,6,0.137,,-0.6,-0.4,-1.1,0.5
88,Dale Davis,PF,26,IND,78,2617,14.3,0.553,0,0.482,12.4,21.1,16.9,4.6,1.2,3.4,14.1,14.8,,2.6,3.7,6.2,0.115,,0.1,0.3,0.4,1.5
89,Hubert Davis,SG,25,NYK,74,1773,14.8,0.633,0.472,0.228,2.4,5.7,4.1,9.6,0.9,0.3,9.2,18,,4,1.6,5.6,0.151,,2.3,-0.6,1.7,1.7
90,Mark Davis,SF,22,MIN,57,571,10.9,0.47,0.087,0.779,11.7,14.5,13.1,12.6,3.6,2.9,25.4,20.8,,-0.8,0.8,-0.1,-0.005,,-4.2,1,-3.2,-0.2
91,Terry Davis,PF,28,DAL,28,501,10,0.532,0,0.435,8.3,17,12.2,6.2,1,0.6,16.3,12.8,,0.3,0.3,0.5,0.052,,-3.7,-1,-4.7,-0.3
92,Todd Day,SG,26,TOT,79,1807,13.5,0.489,0.37,0.351,4.3,9.9,7,9.5,2.2,2,10.4,25.2,,0.4,1.5,1.9,0.049,,-0.8,-0.5,-1.3,0.3
92,Todd Day,SG,26,MIL,8,171,8,0.443,0.352,0.366,5.6,10.2,7.9,4.6,1.2,1.4,11.8,25,,-0.2,0.1,-0.1,-0.028,,-5,-1.3,-6.3,-0.2
92,Todd Day,SG,26,BOS,71,1636,14.1,0.493,0.371,0.35,4.1,9.8,6.9,10,2.3,2.1,10.2,25.2,,0.6,1.4,2,0.057,,-0.4,-0.4,-0.8,0.5
93,Andrew DeClercq,C,22,GSW,22,203,12.1,0.505,0.02,0.38,10.1,12,11.1,6.8,1.8,1.8,6.4,13.4,,0.3,0.1,0.4,0.102,,-2,0.2,-1.7,0
94,Terry Dehere,PG,24,LAC,82,2018,16.7,0.612,0.461,0.477,2.4,6.2,4.3,27.3,1.4,0.6,18.7,22.6,,4.5,0.5,5,0.119,,2.7,-1.9,0.8,1.4
95,Vinny Del Negro,SG,29,SAS,82,2766,15.6,0.564,0.156,0.222,1.5,9.1,5.5,18.3,1.6,0.2,8.6,18.8,,5.2,3.2,8.3,0.144,,0.4,0.7,1.1,2.2
