Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,31,LAL,80,,39.5,9.7,16.8,0.577,,,,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1,4,3.5,2.9,23.8
2,Tom Abernethy,PF,24,GSW,70,,17.4,2.5,4.9,0.515,,,,2.5,4.9,0.515,0.515,1,1.3,0.745,1.1,2,3.1,1.1,0.6,0.2,0.5,1.9,6
3,Alvan Adams,C,24,PHO,77,,30.7,7.4,13.9,0.53,,,,7.4,13.9,0.53,0.53,3,3.8,0.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8
4,Lucius Allen,PG,31,KCK,31,,13.3,2.2,5.6,0.397,,,,2.2,5.6,0.397,0.397,0.6,1.1,0.576,0.5,1,1.5,1.4,0.7,0.2,1,1.7,5.1
5,Kim Anderson,SF,23,POR,21,,10.7,1.1,3.7,0.312,,,,1.1,3.7,0.312,0.312,0.7,1.3,0.536,0.8,1.3,2.1,0.7,0.2,0.2,1,2,3
6,Tiny Archibald*,PG,30,BOS,69,,24.1,3.8,8.3,0.452,,,,3.8,8.3,0.452,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11
7,Tate Armstrong,SG,23,CHI,26,,10,1.1,2.7,0.4,,,,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0,0.8,0.8,2.5
8,Dennis Awtrey,C,30,TOT,63,,11.8,0.7,1.7,0.411,,,,0.7,1.7,0.411,0.411,0.7,0.9,0.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2
8,Dennis Awtrey,C,30,BOS,23,,10.7,0.7,1.9,0.386,,,,0.7,1.9,0.386,0.386,0.7,0.9,0.8,0.6,1.5,2,0.9,0.1,0.3,0.9,1.6,2.2
8,Dennis Awtrey,C,30,SEA,40,,12.5,0.7,1.6,0.429,,,,0.7,1.6,0.429,0.429,0.6,0.9,0.694,0.7,1.9,2.6,1.2,0.3,0.2,0.8,1.7,2
9,Gus Bailey,SG,27,NOJ,2,,4.5,1,3.5,0.286,,,,1,3.5,0.286,0.286,0,0,,1,0,1,1,0,0,0.5,0.5,2
10,Greg Ballard,SF,24,WSB,82,,18.9,3.2,6.8,0.465,,,,3.2,6.8,0.465,0.465,1.5,2.1,0.692,1.7,3.7,5.5,1.4,0.7,0.4,1.2,2,7.8
11,Mike Bantom,PF,27,IND,81,,31.2,6,12.8,0.465,,,,6,12.8,0.465,0.465,2.8,4.2,0.672,2.8,5.2,8,2.8,1.2,0.8,2.4,3.9,14.7
12,Tom Barker,C,23,TOT,39,,12.2,1.7,4,0.436,,,,1.7,4,0.436,0.436,0.7,0.9,0.73,1.2,1.9,3.1,0.4,0.3,0.3,0.9,1.9,4.2
12,Tom Barker,C,23,HOU,5,,3.2,0.6,1.2,0.5,,,,0.6,1.2,0.5,0.5,0.4,0.4,1,0.4,0.8,1.2,0,0,0,0.2,1,1.6
12,Tom Barker,C,23,BOS,12,,10.9,1.8,4,0.438,,,,1.8,4,0.438,0.438,0.9,1.3,0.733,1,1.5,2.5,0.5,0.3,0.3,1.1,2.2,4.4
12,Tom Barker,C,23,NYK,22,,15,2,4.6,0.431,,,,2,4.6,0.431,0.431,0.6,0.9,0.7,1.4,2.4,3.8,0.4,0.3,0.3,0.9,2,4.6
13,Marvin Barnes,PF,26,BOS,38,,20.9,3.5,7.1,0.491,,,,3.5,7.1,0.491,0.491,1.1,1.7,0.652,1.5,3.2,4.7,1.4,1,1,1.8,3.8,8.1
14,Rick Barry*,SF,34,HOU,80,,32.1,5.8,12.5,0.461,,,,5.8,12.5,0.461,0.461,2,2.1,0.947,0.5,3,3.5,6.3,1.2,0.5,2.5,2.4,13.5
15,Tim Bassett,PF,27,NJN,82,,18.4,1.4,3.8,0.371,,,,1.4,3.8,0.371,0.371,1.1,1.6,0.679,2.1,3,5.1,1.2,0.5,0.4,1.3,2.7,3.9
16,Butch Beard,PG,31,NYK,7,,12.1,1.6,3.7,0.423,,,,1.6,3.7,0.423,0.423,0,0,,0.1,1.3,1.4,2.7,1,0,1.4,1.9,3.1
17,Ron Behagen,PF,28,TOT,15,,11,1.9,4.1,0.452,,,,1.9,4.1,0.452,0.452,0.7,0.9,0.769,0.9,1.9,2.8,0.5,0.3,0.1,0.7,2.4,4.4
17,Ron Behagen,PF,28,DET,1,,1,0,0,,,,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0
17,Ron Behagen,PF,28,NYK,5,,7.6,1,2.4,0.417,,,,1,2.4,0.417,0.417,0.4,0.4,1,0.4,1.8,2.2,0.4,0.4,0,0.8,1.6,2.4
17,Ron Behagen,PF,28,KCK,9,,14,2.6,5.6,0.46,,,,2.6,5.6,0.46,0.46,0.9,1.2,0.727,1.2,2.2,3.4,0.6,0.2,0.1,0.7,3,6
18,Kent Benson,C,24,MIL,82,,26,5,9.7,0.518,,,,5,9.7,0.518,0.518,2.2,3,0.735,2.3,4.8,7.1,2.5,1.1,1,1.9,3.4,12.3
19,Del Beshore,PG,22,MIL,1,,1,0,0,,,,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
20,Henry Bibby,PG,29,PHI,82,38,31,4.5,10.6,0.423,,,,4.5,10.6,0.423,0.423,3.2,4.1,0.794,0.9,2.1,3,4.5,0.9,0.1,2.4,2.4,12.2
21,Bob Bigelow,SF,25,SDC,29,,14.2,1.2,3.1,0.4,,,,1.2,3.1,0.4,0.4,0.4,0.7,0.619,0.5,1.1,1.6,0.9,0.4,0.1,0.6,1.3,2.9
22,Otis Birdsong,SG,23,KCK,82,,34.6,9,17.8,0.509,,,,9,17.8,0.509,0.509,3.6,5,0.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7
23,Ron Boone,SG,32,LAL,82,,19.3,3.2,6.9,0.455,,,,3.2,6.9,0.455,0.455,1.1,1.3,0.865,0.6,1.1,1.8,1.9,0.8,0.1,1.8,2.1,7.4
24,Tom Boswell,PF,25,DEN,79,,27.9,4.1,7.6,0.532,,,,4.1,7.6,0.532,0.532,2.5,3.6,0.697,3.1,3.7,6.8,3.1,0.6,0.6,2.3,3.3,10.6
25,Dennis Boyd,PG,24,DET,5,,8,0.6,2.4,0.25,,,,0.6,2.4,0.25,0.25,0,0,,0,0.4,0.4,1.4,0,0,1.2,1,1.2
26,Winford Boynes,SG,21,NJN,69,,17,3.7,8.6,0.43,,,,3.7,8.6,0.43,0.43,1.9,2.4,0.787,0.9,1.4,2.2,1.1,0.6,0.1,1.7,1.7,9.3
27,Alonzo Bradley,SF,25,HOU,34,,7.2,1.1,2.6,0.42,,,,1.1,2.6,0.42,0.42,0.6,1,0.667,0.4,1,1.4,0.5,0.1,0,0.5,1,2.8
28,Mike Bratz,PG,23,PHO,77,,16.8,3.1,6.9,0.454,,,,3.1,6.9,0.454,0.454,1.8,2.2,0.818,0.7,1.1,1.8,2.3,0.8,0.1,1.8,2,8.1
29,Jim Brewer,PF,27,TOT,80,,20.1,1.8,4,0.442,,,,1.8,4,0.442,0.442,0.3,0.8,0.413,2,4,5.9,1.1,0.8,0.8,1.2,2.2,3.9
29,Jim Brewer,PF,27,CLE,55,,23.7,2.1,4.7,0.44,,,,2.1,4.7,0.44,0.44,0.4,0.9,0.479,2.3,4.5,6.7,1.3,0.9,1,1.4,2.5,4.6
29,Jim Brewer,PF,27,DET,25,,12.4,1.1,2.4,0.45,,,,1.1,2.4,0.45,0.45,0.1,0.6,0.2,1.4,2.8,4.2,0.5,0.5,0.4,0.8,1.5,2.3
30,Ron Brewer,SG,23,POR,81,,30.3,5.4,10.8,0.494,,,,5.4,10.8,0.494,0.494,2.6,3.2,0.82,1.1,1.7,2.8,2,1.3,1,1.9,2.2,13.3
31,Junior Bridgeman,SG,25,MIL,82,,23.9,6.6,13,0.506,,,,6.6,13,0.506,0.506,2.3,2.8,0.829,1.4,2.2,3.6,2,1.1,0.5,1.7,2.2,15.5
32,Allan Bristow,SF,27,SAS,74,,17.9,2.4,4.8,0.492,,,,2.4,4.8,0.492,0.492,1.7,2,0.832,1.1,2.3,3.3,3.1,0.8,0.2,1.5,2.1,6.4
33,Fred Brown,PG,30,SEA,77,,25.5,5.8,12.4,0.469,,,,5.8,12.4,0.469,0.469,2.4,2.7,0.888,0.5,1.7,2.2,3.4,1.5,0.3,2.1,1.8,14
34,John Brown,SF,27,CHI,77,,16.4,2,4.1,0.479,,,,2,4.1,0.479,0.479,1.1,1.3,0.857,1.1,2,3.1,1.4,0.2,0.1,1.2,2.3,5
35,Joe Bryant,PF,24,PHI,70,,15.2,2.9,6.8,0.429,,,,2.9,6.8,0.429,0.429,1.8,2.4,0.724,1.4,2.3,3.7,1.5,0.7,0.1,1.6,2.4,7.6
36,Quinn Buckner,PG,24,MIL,81,,21.7,3.1,6.8,0.454,,,,3.1,6.8,0.454,0.454,1,1.5,0.632,0.7,1.9,2.6,5.8,1.9,0.2,2.6,2.8,7.2
37,Greg Bunch,SF,22,NYK,12,,8.1,0.8,2.2,0.346,,,,0.8,2.2,0.346,0.346,0.8,1,0.833,0.8,0.7,1.4,0.3,0.3,0.3,0.4,0.8,2.3
38,Tom Burleson,C,26,KCK,56,,16.6,2.8,6.1,0.459,,,,2.8,6.1,0.459,0.459,2.2,3,0.716,1.5,3.5,5,0.9,0.5,1,1.1,3.3,7.8
39,Don Buse,PG,28,PHO,82,,31,3.5,7,0.495,,,,3.5,7,0.495,0.495,0.9,1.1,0.769,0.5,2.1,2.6,4.3,1.9,0.2,1.2,1.8,7.8
40,Marty Byrnes,SF,22,TOT,79,,16,2.4,4.9,0.481,,,,2.4,4.9,0.481,0.481,1.3,1.9,0.688,1.1,1.3,2.4,1.3,0.3,0.1,1.5,1.4,6.1
40,Marty Byrnes,SF,22,PHO,43,,17.1,2.5,5.2,0.489,,,,2.5,5.2,0.489,0.489,1.7,2.3,0.73,1.1,1.1,2.3,1.4,0.3,0,1.8,1.6,6.8
40,Marty Byrnes,SF,22,NOJ,36,,14.7,2.2,4.6,0.47,,,,2.2,4.6,0.47,0.47,0.9,1.5,0.611,1.1,1.5,2.6,1.2,0.3,0.2,1.1,1.2,5.3
41,Corky Calhoun,SF,28,IND,81,,16.4,1.9,4.1,0.457,,,,1.9,4.1,0.457,0.457,0.9,1.1,0.837,0.8,2.1,2.9,1.3,0.5,0.2,0.7,2.3,4.7
42,Austin Carr,SG,30,CLE,82,,33.1,6.7,14.2,0.475,,,,6.7,14.2,0.475,0.475,3.6,4.4,0.816,1.9,1.6,3.5,2.6,0.9,0.2,2.1,2.6,17
43,Kenny Carr,PF,23,LAL,72,,16,3.1,6.3,0.5,,,,3.1,6.3,0.5,0.5,1.2,1.9,0.606,1,3.1,4.1,0.8,0.5,0.4,1.6,2.1,7.4
44,M.L. Carr,SF,28,DET,80,,40.1,7.3,14.3,0.514,,,,7.3,14.3,0.514,0.514,4,5.4,0.743,2.7,4.6,7.4,3.3,2.5,0.6,3.2,3.5,18.7
45,Ron Carter,SG,22,LAL,46,,7.2,1.2,2.7,0.435,,,,1.2,2.7,0.435,0.435,0.8,1.2,0.667,0.5,0.5,1,0.5,0.4,0.2,0.9,1.2,3.1
46,Harvey Catchings,C,27,TOT,57,4,16.6,1.8,4.3,0.42,,,,1.8,4.3,0.42,0.42,1.1,1.4,0.769,1.8,3.5,5.3,0.8,0.4,1.6,1.5,2.3,4.6
46,Harvey Catchings,C,27,PHI,25,4,11.6,1.1,2.7,0.412,,,,1.1,2.7,0.412,0.412,0.5,0.7,0.765,1.2,2.7,3.9,0.7,0.3,1.4,1.5,1.7,2.8
46,Harvey Catchings,C,27,NJN,32,,20.6,2.3,5.5,0.423,,,,2.3,5.5,0.423,0.423,1.5,1.9,0.77,2.2,4.2,6.4,0.9,0.5,1.8,1.6,2.8,6.1
47,Don Chaney,SG,32,BOS,65,,16.5,2.7,6.4,0.42,,,,2.7,6.4,0.42,0.42,0.6,0.6,0.857,1,1.2,2.2,1.2,1.1,0.2,1,2.6,5.9
48,Maurice Cheeks*,PG,22,PHI,82,82,29.4,3.6,7,0.51,,,,3.6,7,0.51,0.51,1.2,1.7,0.721,0.8,2.3,3.1,5.3,2.1,0.1,2.4,2.4,8.4
49,Phil Chenier,SG,28,WSB,27,,14.3,2.6,5.9,0.437,,,,2.6,5.9,0.437,0.437,0.7,1,0.643,0.1,0.6,0.7,1.1,0.1,0.2,1.1,1,5.8
50,Jim Chones,C,29,CLE,82,,34.8,5.8,13.1,0.44,,,,5.8,13.1,0.44,0.44,1.9,2.6,0.735,3.2,7.1,10.3,2.2,0.6,1.2,2.3,3.4,13.4
51,Jim Cleamons,PG,29,NYK,79,,30.3,3.9,8.3,0.473,,,,3.9,8.3,0.473,0.473,1.6,2.2,0.76,0.8,2,2.8,4.8,0.9,0.1,1.8,1.9,9.5
52,E.C. Coleman,PF,28,HOU,6,,6.5,0.8,1.2,0.714,,,,0.8,1.2,0.714,0.714,0.2,0.2,1,0.2,1,1.2,0.2,0.3,0,0,1.8,1.8
53,Doug Collins,SG,27,PHI,47,44,33.9,7.6,15.3,0.499,,,,7.6,15.3,0.499,0.499,4.3,5.3,0.814,0.8,1.9,2.6,4.1,1.1,0.4,2.8,3,19.5
54,Michael Cooper,SG,22,LAL,3,,2.3,1,2,0.5,,,,1,2,0.5,0.5,0,0,,0,0,0,0,0.3,0,0.3,0.3,2
55,Wayne Cooper,C,22,GSW,65,,12.2,2,4.5,0.437,,,,2,4.5,0.437,0.437,0.6,0.9,0.672,1.4,2.9,4.3,0.3,0.1,0.7,0.8,1.8,4.6
56,Dave Corzine,C,22,WSB,59,,9,1.1,2,0.534,,,,1.1,2,0.534,0.534,0.8,1.1,0.778,0.9,1.6,2.5,0.8,0.2,0.2,0.9,1.1,3
57,Dave Cowens*,C,30,BOS,68,,37,7.2,14.9,0.483,,,,7.2,14.9,0.483,0.483,2.2,2.8,0.807,2.2,7.4,9.6,3.6,1.1,0.8,2.6,3.9,16.6
58,Wesley Cox,SF,24,GSW,31,,11.6,1.7,4,0.431,,,,1.7,4,0.431,0.431,1.3,3,0.435,0.6,1.5,2,0.4,0.4,0.2,1.4,2.2,4.7
59,Charlie Criss,PG,30,ATL,54,,16.3,2,5.4,0.377,,,,2,5.4,0.377,0.377,1.2,1.6,0.779,0.4,0.8,1.1,2.6,0.8,0.1,1.5,1.3,5.3
60,Geoff Crompton,C,23,DEN,20,,4.4,0.5,1.3,0.385,,,,0.5,1.3,0.385,0.385,0.3,0.6,0.5,0.3,0.9,1.2,0.3,0,0.2,0.6,1,1.3
61,Louie Dampier*,PG,34,SAS,70,,10.9,1.8,3.6,0.49,,,,1.8,3.6,0.49,0.49,0.4,0.6,0.744,0.2,0.7,0.9,1.8,0.5,0.1,0.6,0.6,3.9
62,Bob Dandridge*,SF,31,WSB,78,,33.7,8.1,16.2,0.499,,,,8.1,16.2,0.499,0.499,4.2,5.1,0.825,1.4,4.3,5.7,4.7,0.9,0.7,2.8,3.3,20.4
63,Adrian Dantley*,SF,23,LAL,60,,29.6,6.2,12.2,0.51,,,,6.2,12.2,0.51,0.51,4.9,5.7,0.854,2.2,3.5,5.7,2.3,1.1,0.2,2.6,2.7,17.3
64,Brad Davis,PG,23,TOT,27,,11,1.1,2,0.564,,,,1.1,2,0.564,0.564,0.6,0.9,0.696,0,0.6,0.6,1.9,0.6,0.1,0.6,1.2,2.9
64,Brad Davis,PG,23,LAL,5,,13,1.6,2.2,0.727,,,,1.6,2.2,0.727,0.727,0.6,0.8,0.75,0,0.2,0.2,1.8,0.4,0,1.2,2,3.8
64,Brad Davis,PG,23,IND,22,,10.6,1,2,0.523,,,,1,2,0.523,0.523,0.6,0.9,0.684,0,0.7,0.7,2,0.6,0.1,0.5,1,2.7
65,Harry Davis,SF,23,CLE,40,,9.9,1.7,3.8,0.431,,,,1.7,3.8,0.431,0.431,0.8,1.1,0.698,0.7,1,1.7,0.4,0.3,0.2,0.6,1.7,4.1
66,Johnny Davis,PG,23,IND,79,,37.6,7.2,15.7,0.456,,,,7.2,15.7,0.456,0.456,4,5,0.793,0.9,1.5,2.4,5.7,1.2,0.3,2.7,2.2,18.3
67,Walter Davis,SF,24,PHO,79,,30.8,9.7,17.2,0.561,,,,9.7,17.2,0.561,0.561,4.3,5.2,0.831,1.4,3.3,4.7,4.3,1.9,0.3,3.7,3.2,23.6
68,Darryl Dawkins,C,22,PHI,78,,26.1,5.5,10.7,0.517,,,,5.5,10.7,0.517,0.517,2,3,0.672,1.6,6.5,8.1,1.6,0.4,1.8,2.5,3.8,13.1
69,Coby Dietrick,C,30,SAS,76,,19.6,2.8,5.3,0.523,,,,2.8,5.3,0.523,0.523,1,1.3,0.798,1.2,3,4.1,2.6,0.9,0.5,1.2,2.7,6.5
70,Jacky Dorsey,SF,24,HOU,20,,5.4,1.2,2.2,0.558,,,,1.2,2.2,0.558,0.558,0.4,0.8,0.5,0.6,0.6,1.2,0.1,0.1,0.1,0.4,1.3,2.8
71,Leon Douglas,C,24,DET,78,,28.4,4.4,8.9,0.49,,,,4.4,8.9,0.49,0.49,2.7,4.2,0.634,3.2,5.3,8.5,0.9,0.5,0.7,2.4,4.1,11.4
72,John Drew,SF,24,ATL,79,,30.5,8.2,17.4,0.473,,,,8.2,17.4,0.473,0.473,6.3,8.6,0.731,2.8,3.8,6.6,1.5,1.6,0.2,2.7,4.2,22.7
73,Charles Dudley,PG,28,CHI,43,,15.9,1,2.9,0.36,,,,1,2.9,0.36,0.36,0.7,1,0.667,0.6,1.4,2,2.7,0.7,0,1.5,1.9,2.7
74,Mike Dunleavy,SG,24,HOU,74,,20.1,2.9,5.7,0.506,,,,2.9,5.7,0.506,0.506,2.1,2.5,0.864,0.4,1.4,1.7,4.4,0.8,0.1,1.8,2.3,8
75,T.R. Dunn,SG,23,POR,80,,22.9,3.1,6.9,0.448,,,,3.1,6.9,0.448,0.448,1.5,2,0.772,1.8,2.5,4.3,1.3,1.1,0.3,1.2,2.1,7.7
76,James Edwards,C,23,IND,82,,31,6.5,13,0.501,,,,6.5,13,0.501,0.501,3.6,5.4,0.676,2.2,6.3,8.5,1.1,0.7,1.3,2,4.4,16.7
77,Bob Elliott,PF,23,NJN,14,,20.1,2.9,5.2,0.562,,,,2.9,5.2,0.562,0.562,2.9,4,0.732,1.1,2.9,4,1.6,0.4,0.3,1.9,2.4,8.8
78,Bo Ellis,PF,24,DEN,42,,6.4,1,2.2,0.457,,,,1,2.2,0.457,0.457,0.7,0.9,0.806,0.4,1.1,1.5,0.2,0.2,0.3,0.5,1.1,2.7
79,Len Elmore,C,26,IND,80,,15.8,1.7,4.3,0.406,,,,1.7,4.3,0.406,0.406,0.7,1,0.718,1.4,3.6,5,0.9,0.8,1,0.9,2.3,4.2
80,Alex English*,SF,25,IND,81,,33.3,7,13.6,0.511,,,,7,13.6,0.511,0.511,2.1,2.8,0.752,3.1,5,8.1,3.3,0.9,1,2.4,2.6,16
81,Ray Epps,SF,22,GSW,13,,5.5,0.8,1.8,0.435,,,,0.8,1.8,0.435,0.435,0.5,0.6,0.75,0,0.4,0.4,0.2,0.1,0,0.2,0.5,2
82,Julius Erving*,SF,28,PHI,78,76,35.9,9.2,18.7,0.491,,,,9.2,18.7,0.491,0.491,4.8,6.4,0.745,2.5,4.7,7.2,4.6,1.7,1.3,4,2.7,23.1
83,Chris Ford,SG,30,TOT,81,,33.8,6.6,14.1,0.471,,,,6.6,14.1,0.471,0.471,2.1,2.8,0.758,1.5,1.9,3.4,4.6,1.4,0.3,2.6,2.6,15.4
83,Chris Ford,SG,30,DET,3,,36,4.3,11.7,0.371,,,,4.3,11.7,0.371,0.371,2.3,2.7,0.875,3,3,6,1.7,0.3,0.3,3.3,3,11
83,Chris Ford,SG,30,BOS,78,,33.7,6.7,14.2,0.474,,,,6.7,14.2,0.474,0.474,2.1,2.8,0.753,1.5,1.8,3.3,4.7,1.5,0.3,2.6,2.6,15.6
84,Don Ford,PF,26,LAL,79,,19.5,2.9,5.7,0.507,,,,2.9,5.7,0.507,0.507,0.9,1.1,0.809,1.1,2.3,3.4,1.3,0.6,0.3,1.2,2.2,6.7
85,Phil Ford,PG,22,KCK,79,,34.5,5.9,12.7,0.465,,,,5.9,12.7,0.465,0.465,4.1,5.1,0.813,0.4,1.9,2.3,8.6,2.2,0.1,4.1,3.1,15.9
86,Bayard Forrest,C,24,PHO,75,,16.6,1.6,3.6,0.434,,,,1.6,3.6,0.434,0.434,0.8,1.5,0.539,1.5,2.7,4.2,2.2,0.4,0.5,1.4,2,4
87,Walt Frazier*,PG,33,CLE,12,,23.3,4.5,10.2,0.443,,,,4.5,10.2,0.443,0.443,1.8,2.3,0.778,0.6,1.1,1.7,2.7,1.1,0.2,1.8,1.8,10.8
88,World B. Free,PG,25,SDC,78,,37.9,10.2,21.2,0.481,,,,10.2,21.2,0.481,0.481,8.4,11.1,0.756,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8
89,Terry Furlow,SG,24,TOT,78,,21.6,5,10.3,0.483,,,,5,10.3,0.483,0.483,2.1,2.5,0.836,1,1.2,2.1,2.4,0.7,0.4,1.7,1.6,12
89,Terry Furlow,SG,24,CLE,49,,22.7,5.6,11.6,0.483,,,,5.6,11.6,0.483,0.483,2.1,2.6,0.824,0.9,1.1,2,2.1,0.8,0.3,1.8,1.6,13.3
89,Terry Furlow,SG,24,ATL,29,,19.9,3.9,8.1,0.481,,,,3.9,8.1,0.481,0.481,2.1,2.4,0.857,1.1,1.3,2.4,2.8,0.6,0.4,1.6,1.4,9.9
90,Mike Gale,SG,28,SAS,82,,25.9,3.5,7.5,0.464,,,,3.5,7.5,0.464,0.464,1.1,1.3,0.843,0.5,1.8,2.3,4.6,1.9,0.5,1.9,2.3,8
91,Gus Gerard,SF,25,TOT,58,,8,1.4,3.3,0.433,,,,1.4,3.3,0.433,0.433,0.9,1.6,0.549,0.7,1,1.7,0.4,0.3,0.2,0.6,1.3,3.8
91,Gus Gerard,SF,25,DET,2,,3,0.5,1.5,0.333,,,,0.5,1.5,0.333,0.333,0.5,1,0.5,0.5,0,0.5,0,1,0,0,0,1.5
91,Gus Gerard,SF,25,KCK,56,,8.2,1.5,3.4,0.435,,,,1.5,3.4,0.435,0.435,0.9,1.6,0.551,0.7,1,1.7,0.4,0.3,0.2,0.6,1.3,3.8
92,George Gervin*,SF,26,SAS,80,,36.1,11.8,21.9,0.541,,,,11.8,21.9,0.541,0.541,5.9,7.1,0.826,1.8,3.2,5,2.7,1.7,1.1,3.6,3.4,29.6
93,John Gianelli,C,28,MIL,82,,25.1,3.1,6.4,0.486,,,,3.1,6.4,0.486,0.486,0.9,1.2,0.706,1.5,3.5,5,2,0.5,0.7,1.3,2.4,7.1
94,Artis Gilmore*,C,29,CHI,82,,39.8,9.2,16,0.575,,,,9.2,16,0.575,0.575,5.3,7.2,0.739,3.6,9.1,12.7,3.3,0.6,1.9,3.8,3.4,23.7
95,Jack Givens,SF,22,ATL,74,,18.2,3.2,7.6,0.415,,,,3.2,7.6,0.415,0.415,1.4,1.8,0.756,1.3,1.6,2.9,1.1,1,0.2,1,1.6,7.7
96,Mike Glenn,SG,23,NYK,75,,15.6,3.5,6.5,0.541,,,,3.5,6.5,0.541,0.541,0.8,0.8,0.905,0.4,0.7,1.1,1.8,0.5,0.1,0.9,1.5,7.8
97,Glen Gondrezick,SF,23,NYK,75,,21.4,2.1,4.3,0.494,,,,2.1,4.3,0.494,0.494,0.7,1.3,0.567,2,3.7,5.7,1.4,1.3,0.2,1.3,3,5
98,Gail Goodrich*,SG,35,NOJ,74,,28.8,5.2,11.5,0.449,,,,5.2,11.5,0.449,0.449,2.4,2.8,0.853,0.9,1.6,2.5,4.8,1.2,0.2,2.5,2.4,12.7
99,Mike Green,C,27,SAS,76,,21.6,3.1,6.3,0.493,,,,3.1,6.3,0.493,0.493,1.3,1.9,0.701,1.7,2.9,4.7,1.5,0.5,1.6,1.2,3,7.5
100,Rickey Green,PG,24,DET,27,,16,2.5,6.6,0.379,,,,2.5,6.6,0.379,0.379,1.7,2.5,0.672,0.6,0.9,1.5,2.3,0.9,0,1.6,1.4,6.6
101,Steve Green,SF,25,IND,39,,6.8,1.1,2.3,0.472,,,,1.1,2.3,0.472,0.472,0.5,0.9,0.588,0.6,0.8,1.3,0.5,0.3,0.1,0.4,1,2.7
102,Tommie Green,PG,22,NOJ,59,,13.7,1.6,4,0.388,,,,1.6,4,0.388,0.388,0.8,1.1,0.762,0.3,0.8,1.2,2.4,1,0.1,1.5,1.9,3.9
103,Kevin Grevey,SF,25,WSB,65,,28.6,6.4,14.2,0.453,,,,6.4,14.2,0.453,0.453,2.7,3.4,0.772,1.4,2.2,3.6,2.4,0.7,0.2,1.8,2.4,15.5
104,Paul Griffin,PF,25,NOJ,77,,18.2,1.4,2.9,0.475,,,,1.4,2.9,0.475,0.475,1.2,1.9,0.619,1.6,3.4,5.1,1.8,0.7,0.5,1.5,2.6,3.9
105,Bob Gross,SF,25,POR,53,,27.2,3.9,8.4,0.472,,,,3.9,8.4,0.472,0.472,1.8,2.2,0.807,2,2.7,4.7,3.5,1.3,0.9,2.3,3,9.7
106,Ernie Grunfeld,SF,23,MIL,82,,21.7,4,8.1,0.493,,,,4,8.1,0.493,0.493,2.3,3.1,0.761,1.5,2.9,4.4,2.6,0.7,0.2,1.7,2.7,10.3
107,Lars Hansen,C,24,SEA,15,,13.7,1.9,3.8,0.509,,,,1.9,3.8,0.509,0.509,1.2,2.1,0.581,1.5,2.5,3.9,0.9,0.1,0.1,0.6,1.9,5.1
108,James Hardy,SF,22,NOJ,68,,21.4,2.9,6.3,0.46,,,,2.9,6.3,0.46,0.46,0.9,1.3,0.693,1.8,2.8,4.6,1,0.8,0.9,1.4,2,6.7
109,Joe Hassett,SG,23,SEA,55,,8.4,1.8,3.8,0.474,,,,1.8,3.8,0.474,0.474,0.4,0.4,1,0.2,0.6,0.8,0.8,0.3,0.1,0.6,1.1,4.1
110,Steve Hawes,PF,28,ATL,81,,27.2,4.6,9.3,0.492,,,,4.6,9.3,0.492,0.492,1.3,1.6,0.818,2.3,5,7.3,2.3,1,0.6,1.8,3.3,10.5
111,Bubbles Hawkins,SG,24,DET,4,,7,1.5,4,0.375,,,,1.5,4,0.375,0.375,1.5,1.5,1,0.8,0.8,1.5,1,1.3,0,0.5,1.8,4.5
112,Elvin Hayes*,PF,33,WSB,82,,37.9,8.8,18,0.487,,,,8.8,18,0.487,0.487,4.3,6.5,0.654,3.8,8.3,12.1,1.7,0.9,2.3,2.9,3.8,21.8
113,Spencer Haywood*,PF,29,TOT,68,,34.7,8.8,17.7,0.494,,,,8.8,17.7,0.494,0.494,3.4,4.3,0.791,2.5,5.3,7.8,1.9,0.6,1.2,2.9,3.5,20.9
113,Spencer Haywood*,PF,29,NYK,34,,30.1,7.3,15,0.489,,,,7.3,15,0.489,0.489,3.1,4.3,0.733,1.9,4.1,6.1,1.6,0.3,0.9,2.6,3.2,17.8
113,Spencer Haywood*,PF,29,NOJ,34,,39.4,10.2,20.5,0.497,,,,10.2,20.5,0.497,0.497,3.6,4.3,0.849,3.1,6.5,9.6,2.1,0.9,1.6,3.3,3.8,24
114,Gar Heard,PF,30,PHO,63,,19.3,2.6,5.8,0.441,,,,2.6,5.8,0.441,0.441,1.1,1.6,0.689,1.6,4,5.6,1,0.8,0.9,1,2.2,6.3
