Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
191,Mark Olberding,PF,22,SAS,80,,23.6,3.3,6.9,0.474,,,,3.3,6.9,0.474,0.474,2.9,3.6,0.803,1.2,4.2,5.4,2.6,0.7,0.2,2,3.5,9.4
192,John Olive,SF,23,SDC,34,,5.6,0.4,1.2,0.325,,,,0.4,1.2,0.325,0.325,0.5,0.7,0.783,0.1,0.5,0.6,0.1,0.1,0,0.4,0.9,1.3
193,Tom Owens,C,29,POR,82,,34,7.3,13.4,0.548,,,,7.3,13.4,0.548,0.548,3.9,4.9,0.794,3.2,5.8,9,3.7,0.7,0.7,3,4,18.5
194,Robert Parish*,C,25,GSW,76,,31.7,7.3,14.6,0.499,,,,7.3,14.6,0.499,0.499,2.6,3.7,0.698,3.5,8.6,12.1,1.5,1.3,2.9,3.1,4,17.2
195,Sonny Parker,SF,23,GSW,79,,36.6,6.5,12.9,0.502,,,,6.5,12.9,0.502,0.502,2.2,2.8,0.788,2.1,3.5,5.6,3.7,1.8,0.4,2.4,2.4,15.2
196,Billy Paultz,C,30,SAS,79,,26.9,5.1,9.6,0.526,,,,5.1,9.6,0.526,0.526,1.4,2.5,0.588,2.1,5.8,7.9,2.3,0.4,1.6,2,2.6,11.5
197,Roger Phegley,SG,22,WSB,29,,5.3,1,2.7,0.359,,,,1,2.7,0.359,0.359,0.8,1,0.828,0.2,0.6,0.8,0.5,0.2,0.1,0.6,0.7,2.8
198,Stan Pietkiewicz,SG,22,SDC,4,,8,0.3,2,0.125,,,,0.3,2,0.125,0.125,0.5,0.5,1,0,1.5,1.5,0.8,0.3,0,0.3,1.3,1
199,Ben Poquette,PF,23,DET,76,,17.6,2.6,6.1,0.427,,,,2.6,6.1,0.427,0.427,1.5,1.9,0.782,1.3,3.1,4.4,0.8,0.5,1.3,0.9,2.6,6.7
200,Kevin Porter,PG,28,DET,82,,37.4,6.5,13.5,0.481,,,,6.5,13.5,0.481,0.481,2.3,3.2,0.722,0.8,1.8,2.5,13.4,1.9,0.1,4.1,3.7,15.4
201,Jim Price,PG,29,LAL,75,,16.1,2.3,4.6,0.497,,,,2.3,4.6,0.497,0.497,0.7,1.1,0.696,0.3,1.3,1.6,2.9,0.9,0.2,1.3,1.7,5.3
202,Wayne Radford,SG,22,IND,52,,12.5,1.6,3.4,0.474,,,,1.6,3.4,0.474,0.474,0.7,0.9,0.8,0.5,0.8,1.3,1.1,0.6,0,0.9,1.2,3.9
203,Clifford Ray,C,30,GSW,82,,23.4,2.8,5.4,0.526,,,,2.8,5.4,0.526,0.526,1.3,2.3,0.558,2.6,4.8,7.4,1.7,0.6,0.6,1.9,3.2,6.9
204,Marlon Redmond,SG,23,TOT,53,,14.3,3.1,7.3,0.421,,,,3.1,7.3,0.421,0.421,0.6,0.9,0.62,1.1,1,2.1,1.1,0.5,0.3,1.1,1.8,6.7
