Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
136,Ennis Whatley,PG,22,CHI,70,44,19.8,2,4.5,0.447,0,0.1,0.111,2,4.3,0.457,0.449,1,1.2,0.791,0.5,1,1.4,5.4,0.9,0.1,2.1,2,5
137,Darren Daye,SF,24,WSB,80,8,19.7,3.2,6.3,0.512,0,0.1,0.143,3.2,6.2,0.517,0.513,2.2,3.1,0.715,1.2,2.2,3.4,3,0.7,0.2,1.7,2.1,8.7
138,Kurt Rambis,PF,26,LAL,82,46,19.7,2.2,4,0.554,0,0,,2.2,4,0.554,0.554,0.8,1.3,0.66,2,4.4,6.4,0.8,1,0.6,1.2,2.6,5.2
139,Kent Benson,C,30,DET,72,35,19.5,2.8,5.5,0.506,0,0,0,2.8,5.5,0.51,0.506,1.1,1.3,0.809,1.4,3.1,4.5,1.3,0.7,0.6,0.9,2.9,6.6
140,Wes Matthews,PG,25,CHI,78,38,19.5,2.4,4.9,0.495,0,0.2,0.125,2.4,4.7,0.511,0.497,0.8,1.1,0.694,0.2,0.7,0.9,4.5,0.9,0.2,1.6,1.7,5.7
141,Tony Brown,SF,24,IND,82,26,19.3,2.6,5.7,0.46,0,0.1,0,2.6,5.6,0.466,0.46,1.4,2.1,0.678,1.8,1.7,3.5,1.9,0.7,0.1,1.4,2.6,6.6
142,Mitchell Wiggins,SG,25,HOU,82,24,19.2,3.9,8,0.484,0.1,0.3,0.261,3.8,7.7,0.492,0.489,1.2,1.6,0.733,1.3,1.5,2.9,1.5,1,0.2,1.1,2.4,9
143,Jeff Wilkins,C,29,UTA,79,0,19.1,3.6,7.4,0.49,0,0,0,3.6,7.4,0.491,0.49,0.8,1,0.763,1,3.6,4.6,1,0.4,0.2,1.2,2.2,8
144,Ken Bannister,PF,24,NYK,75,50,18.7,2.8,5.9,0.47,0,0,,2.8,5.9,0.47,0.47,1.2,2.6,0.474,1.4,3,4.4,0.5,0.5,0.5,1.9,3.7,6.8
145,Steve Colter,PG,22,POR,78,22,18.7,2.8,6.1,0.453,0.3,0.9,0.351,2.4,5.2,0.471,0.48,1.3,1.7,0.754,0.5,1.4,1.9,3.1,1,0.1,1.4,1.8,7.1
146,Elston Turner,SF,25,DEN,81,2,18.4,2.2,4.8,0.466,0,0.1,0.167,2.2,4.7,0.471,0.468,0.6,0.8,0.785,1.1,1.6,2.7,2,1.2,0.1,0.9,1.9,5.1
147,Dale Ellis,SF,24,DAL,72,4,18.3,3.8,8.4,0.454,0.6,1.5,0.385,3.2,6.9,0.47,0.489,1.1,1.4,0.74,1.4,1.9,3.3,0.8,0.6,0.1,0.8,1.8,9.3
148,John Stockton*,PG,22,UTA,82,5,18.2,1.9,4.1,0.471,0,0.1,0.182,1.9,3.9,0.481,0.474,1.7,2.4,0.736,0.3,1,1.3,5.1,1.3,0.1,1.8,2.5,5.6
149,Jeff Cook,PF,28,TOT,72,5,17.9,1.9,3.9,0.495,0,0,0,1.9,3.9,0.496,0.495,0.7,0.9,0.734,1.7,2.7,4.4,0.9,0.4,0.3,0.7,2.8,4.5
150,Mike Evans,SG,29,DEN,81,0,17.7,4,8.2,0.489,0.7,1.9,0.363,3.3,6.2,0.528,0.532,1.4,1.6,0.863,0.3,1.1,1.5,2.9,0.8,0.1,1.6,2.1,10.1
151,James Bailey,PF,27,NYK,74,28,17.5,2.1,4.7,0.447,0,0,0,2.1,4.7,0.448,0.447,1,1.5,0.676,1.6,3,4.6,0.5,0.4,0.7,1.4,3.9,5.2
152,Terence Stansbury,SG,23,IND,74,14,17.3,2.8,6.2,0.459,0.1,0.3,0.16,2.8,5.9,0.476,0.463,1.4,1.7,0.81,0.5,1,1.5,1.7,0.6,0.2,1.1,2.8,7.1
153,Larry Spriggs,PF,25,LAL,75,32,17.2,2.6,4.7,0.548,0,0,0,2.6,4.7,0.553,0.548,1.5,1.9,0.767,1,2,3,1.8,0.6,0.2,1.5,2.6,6.7
154,Othell Wilson,PG,23,GSW,74,23,17,1.8,3.9,0.46,0,0.2,0.188,1.8,3.7,0.476,0.466,0.7,1,0.711,0.5,1.3,1.8,2.9,1,0.2,1.3,1.6,4.4
155,Dudley Bradley,SG,27,WSB,73,24,16.9,1.9,4.1,0.475,0.3,0.9,0.313,1.7,3.2,0.519,0.508,0.7,1.1,0.684,0.5,1.4,1.8,2.4,1.3,0.3,1.2,2.1,4.9
156,Rod Foster,PG,24,PHO,79,1,16.7,3.6,8.1,0.45,0.5,1.6,0.325,3.1,6.5,0.48,0.482,1.1,1.4,0.755,0.3,0.7,1,2.4,0.8,0,1.5,2.2,8.8
157,Rich Kelley,C,31,UTA,77,34,16.6,1.3,2.8,0.477,0,0,0,1.3,2.8,0.481,0.477,1.1,1.5,0.75,1.5,3,4.5,1.6,0.5,0.4,1.6,2.9,3.8
158,John Paxson,PG,24,SAS,78,1,16.1,2.5,4.9,0.509,0.1,0.4,0.294,2.4,4.5,0.53,0.522,1.1,1.3,0.84,0.2,0.6,0.9,2.8,0.6,0,1,1.5,6.2
159,Alvin Scott,SF,29,PHO,77,18,16.1,1.4,3.4,0.429,0,0.1,0.2,1.4,3.3,0.433,0.431,0.7,1,0.716,0.6,1.5,2.1,1.6,0.5,0.3,0.8,1.6,3.6
160,Fred Roberts,PF,24,TOT,74,0,15.9,2.8,5.6,0.498,0,0,1,2.8,5.6,0.496,0.499,2,2.5,0.824,1.1,1.5,2.5,1.2,0.4,0.3,1.2,1.9,7.7
